sensor:model,sensor:package,sensor:capability,sensor:units
AirBeam-PM,AirBeam:0018961086FE,Particulate Matter,micrograms per cubic meter
Timestamp,geo:lat,geo:long,Value
2016-10-24T15:43:59.042+0200,21.1670431,42.64479822,41.79
2016-10-24T15:44:00.192+0200,21.16705503,42.64477658,39.11
2016-10-24T15:44:01.350+0200,21.16705829,42.64475365,40.54
2016-10-24T15:44:02.552+0200,21.16707836,42.64471913,42.22
2016-10-24T15:44:03.728+0200,21.16708368,42.64469546,49.49
2016-10-24T15:44:04.839+0200,21.16708631,42.6446752,48.77
2016-10-24T15:44:06.012+0200,21.16708791,42.64465706,50.22
2016-10-24T15:44:07.192+0200,21.16709124,42.64463664,52.95
2016-10-24T15:44:08.356+0200,21.16709986,42.64461258,55.77
2016-10-24T15:44:09.512+0200,21.16710122,42.64457635,50.95
2016-10-24T15:44:10.696+0200,21.16709933,42.64455864,50.22
2016-10-24T15:44:11.862+0200,21.16709723,42.64453694,50.71
2016-10-24T15:44:13.023+0200,21.16709079,42.64452032,51.2
2016-10-24T15:44:14.179+0200,21.16709229,42.64449986,47.59
2016-10-24T15:44:15.352+0200,21.1670932,42.64447677,49.73
2016-10-24T15:44:16.522+0200,21.1670962,42.64442984,50.95
2016-10-24T15:44:17.707+0200,21.16710453,42.64440706,51.45
2016-10-24T15:44:18.864+0200,21.16710827,42.64439114,55.25
2016-10-24T15:44:20.040+0200,21.16711562,42.64437242,49.01
2016-10-24T15:44:21.233+0200,21.16712102,42.64435272,44.4
2016-10-24T15:44:22.357+0200,21.16712771,42.64433445,42.86
2016-10-24T15:44:23.502+0200,21.16712519,42.64429846,45.74
2016-10-24T15:44:24.717+0200,21.16713646,42.64427173,48.77
2016-10-24T15:44:25.840+0200,21.16714986,42.64424754,52.69
2016-10-24T15:44:27.078+0200,21.1671576,42.64421674,54.22
2016-10-24T15:44:28.190+0200,21.16716948,42.6441844,51.94
2016-10-24T15:44:29.355+0200,21.16719176,42.64416303,53.45
2016-10-24T15:44:30.511+0200,21.16719798,42.64412676,50.22
2016-10-24T15:44:31.754+0200,21.16720238,42.64410529,57.08
2016-10-24T15:44:32.863+0200,21.16721319,42.64408353,65.36
2016-10-24T15:44:34.023+0200,21.16721909,42.64404153,60.87
2016-10-24T15:44:35.202+0200,21.16721673,42.6440016,57.35
2016-10-24T15:44:36.360+0200,21.1672095,42.64396183,57.35
2016-10-24T15:44:37.515+0200,21.16718206,42.64387164,54.47
2016-10-24T15:44:38.678+0200,21.16716077,42.6438299,54.22
2016-10-24T15:44:39.852+0200,21.16713618,42.64380228,54.73
2016-10-24T15:44:41.013+0200,21.16711262,42.64378035,52.44
2016-10-24T15:44:42.175+0200,21.16708677,42.6437529,54.73
2016-10-24T15:44:43.330+0200,21.16704772,42.64372954,56.82
2016-10-24T15:44:44.502+0200,21.1670002,42.64368818,55.25
2016-10-24T15:44:45.693+0200,21.16698046,42.64367914,51.2
2016-10-24T15:44:46.853+0200,21.16696971,42.64366632,55.77
2016-10-24T15:44:48.050+0200,21.16696248,42.64366335,61.14
2016-10-24T15:44:49.156+0200,21.1669442,42.64364874,59.5
2016-10-24T15:44:50.336+0200,21.16692863,42.64363944,59.77
2016-10-24T15:44:51.479+0200,21.16689319,42.64362153,54.73
2016-10-24T15:44:52.684+0200,21.16687892,42.64360805,51.94
2016-10-24T15:44:53.873+0200,21.16684833,42.64358521,54.47
2016-10-24T15:44:55.031+0200,21.16681827,42.64358649,58.42
2016-10-24T15:44:56.174+0200,21.16677997,42.64357139,59.5
2016-10-24T15:44:57.338+0200,21.166725,42.64354932,63.65
2016-10-24T15:44:58.507+0200,21.16660616,42.64345603,62.81
2016-10-24T15:44:59.723+0200,21.16654654,42.64342288,59.5
2016-10-24T15:45:00.837+0200,21.16647551,42.64335426,58.42
2016-10-24T15:45:02.003+0200,21.1664019,42.64330549,61.42
2016-10-24T15:45:03.139+0200,21.16633221,42.64325256,59.77
2016-10-24T15:45:04.329+0200,21.16626534,42.64319534,54.99
2016-10-24T15:45:05.571+0200,21.16610316,42.64308391,53.45
2016-10-24T15:45:06.702+0200,21.16604004,42.64303989,51.94
2016-10-24T15:45:07.874+0200,21.16595572,42.64299621,50.46
2016-10-24T15:45:09.061+0200,21.16589104,42.64295876,48.06
2016-10-24T15:45:10.153+0200,21.16586782,42.64293636,46.2
2016-10-24T15:45:11.421+0200,21.16588042,42.64291773,48.06
2016-10-24T15:45:12.515+0200,21.16580561,42.642885,45.97
2016-10-24T15:45:13.679+0200,21.16577859,42.64286654,43.73
2016-10-24T15:45:14.850+0200,21.16576635,42.6428481,39.31
2016-10-24T15:45:16.004+0200,21.16574153,42.64282447,37.73
2016-10-24T15:45:17.270+0200,21.16570901,42.64279703,37.73
2016-10-24T15:45:18.357+0200,21.16565556,42.64276896,38.51
2016-10-24T15:45:19.499+0200,21.16554073,42.64271568,36.58
2016-10-24T15:45:20.682+0200,21.16546842,42.64266802,36.58
2016-10-24T15:45:21.846+0200,21.16539785,42.64261596,35.47
2016-10-24T15:45:23.012+0200,21.16532665,42.64255805,36.39
2016-10-24T15:45:24.166+0200,21.16525987,42.64249039,33.85
2016-10-24T15:45:25.320+0200,21.16517226,42.64241733,39.31
2016-10-24T15:45:26.500+0200,21.165003,42.64225818,43.29
2016-10-24T15:45:27.683+0200,21.16492022,42.64217232,45.29
2016-10-24T15:45:28.842+0200,21.16483258,42.64208215,39.31
2016-10-24T15:45:29.999+0200,21.16474112,42.64199234,40.12
2016-10-24T15:45:31.167+0200,21.16463823,42.64190181,39.72
2016-10-24T15:45:32.350+0200,21.1645592,42.64181483,43.51
2016-10-24T15:45:33.497+0200,21.16439329,42.6416642,44.17
2016-10-24T15:45:34.690+0200,21.16437265,42.64161453,44.84
2016-10-24T15:45:35.813+0200,21.16426221,42.64155551,43.08
2016-10-24T15:45:36.987+0200,21.16417122,42.64150327,44.62
2016-10-24T15:45:38.148+0200,21.16409867,42.64145754,42.22
2016-10-24T15:45:39.334+0200,21.1640618,42.64142096,40.74
2016-10-24T15:45:40.511+0200,21.16398239,42.64132797,38.51
2016-10-24T15:45:41.683+0200,21.16393579,42.64127211,40.95
2016-10-24T15:45:42.814+0200,21.16391454,42.64122396,42.86
2016-10-24T15:45:43.993+0200,21.16389354,42.64117595,43.95
2016-10-24T15:45:45.156+0200,21.16386951,42.64112009,47.83
2016-10-24T15:45:46.333+0200,21.16384375,42.64106279,49.49
2016-10-24T15:45:47.510+0200,21.16377134,42.64094664,51.94
2016-10-24T15:45:48.666+0200,21.16373778,42.64088266,50.95
2016-10-24T15:45:49.819+0200,21.1637038,42.64081132,49.98
2016-10-24T15:45:50.997+0200,21.16367732,42.64075186,51.2
2016-10-24T15:45:52.167+0200,21.16366041,42.6406886,53.71
2016-10-24T15:45:53.319+0200,21.16364287,42.64063334,51.45
2016-10-24T15:45:54.499+0200,21.16363838,42.64056079,49.49
2016-10-24T15:45:55.680+0200,21.1636201,42.64054251,48.06
2016-10-24T15:45:56.853+0200,21.16359334,42.64052688,52.19
2016-10-24T15:45:58.060+0200,21.16358477,42.64049514,48.77
2016-10-24T15:45:59.164+0200,21.16356953,42.64046285,47.36
2016-10-24T15:46:00.327+0200,21.16355624,42.64042614,45.07
2016-10-24T15:46:01.506+0200,21.16351966,42.640325,44.17
2016-10-24T15:46:02.668+0200,21.1635035,42.64027615,45.07
2016-10-24T15:46:03.822+0200,21.16348816,42.64022281,38.32
2016-10-24T15:46:04.999+0200,21.16346845,42.64017355,38.51
2016-10-24T15:46:06.207+0200,21.1634323,42.64009331,34.92
2016-10-24T15:46:07.386+0200,21.16339763,42.64002396,36.96
2016-10-24T15:46:08.480+0200,21.16337134,42.63987108,37.73
2016-10-24T15:46:09.675+0200,21.1633587,42.63979516,39.31
2016-10-24T15:46:10.810+0200,21.16335751,42.63972032,36.77
2016-10-24T15:46:12.048+0200,21.16337149,42.63963749,39.31
2016-10-24T15:46:13.140+0200,21.16341451,42.63956833,40.74
2016-10-24T15:46:14.330+0200,21.16343239,42.63950759,41.79
2016-10-24T15:46:15.518+0200,21.16348184,42.63939143,40.95
2016-10-24T15:46:16.676+0200,21.16351953,42.63931836,41.16
2016-10-24T15:46:17.819+0200,21.16353416,42.63926653,42.0
2016-10-24T15:46:19.007+0200,21.16357293,42.63920564,44.17
2016-10-24T15:46:20.162+0200,21.16358524,42.63914811,45.52
2016-10-24T15:46:21.403+0200,21.16361315,42.6390682,48.06
2016-10-24T15:46:22.505+0200,21.16367314,42.63894066,54.47
2016-10-24T15:46:23.640+0200,21.16370892,42.63888145,52.19
2016-10-24T15:46:24.856+0200,21.16374201,42.63882677,50.71
2016-10-24T15:46:26.002+0200,21.16378245,42.63877637,46.89
2016-10-24T15:46:27.134+0200,21.16381883,42.63872602,48.06
2016-10-24T15:46:28.337+0200,21.16386264,42.63866956,47.12
2016-10-24T15:46:29.498+0200,21.16393616,42.63858798,48.54
2016-10-24T15:46:30.692+0200,21.16396001,42.63855873,48.06
